Uniprot_ID,HEK293,MCF10A,U2OS,HepG2 C3A
Q08J23,1,1,1,1
Q09161,1,0,0,0
Q09666,1,1,1,0
Q10570,1,0,1,0
Q12788,1,1,1,0
Q12849,1,1,1,1
Q12872,1,0,0,0
Q12904,1,1,1,0
Q12905,1,1,1,1
Q12906,1,1,1,1
Q12926,1,0,1,0
Q12931,1,0,1,1
Q12986,0,0,1,0
Q13084,1,1,1,0
Q13148,1,1,1,1
Q13151,1,1,1,1
Q13206,1,0,1,0
Q13242,1,1,1,1
Q13243,1,1,1,0
Q13247,1,1,1,0
Q13263,1,1,1,0
Q13283,1,1,1,1
Q13310,1,1,1,1
Q13347,1,0,0,0
Q13395,1,0,0,0
Q13425,1,0,0,0
Q13427,1,1,1,1
Q13428,1,1,1,0
Q13435,1,1,1,0
Q13442,0,1,0,0
Q13523,1,1,1,1
Q13573,1,1,1,0
Q13595,1,1,1,0
Q13601,0,1,0,0
Q13823,1,1,1,1
Q13838,1,0,1,0
Q13895,1,1,1,1
Q14011,1,1,1,0
Q14103,1,1,1,1
Q14137,1,1,1,0
Q14151,1,1,1,1
Q14152,1,1,1,1
Q14157,1,1,1,1
Q14204,1,1,1,1
Q14258,1,1,1,1
Q14444,1,1,1,1
Q14498,1,1,1,1
Q14562,1,0,1,1
Q14671,1,1,1,1
Q14683,1,1,0,0
Q14684,1,1,1,0
Q14690,1,1,1,1
Q14692,1,1,1,1
Q14694,1,1,1,1
Q14739,1,0,1,1
Q14789,1,1,1,0
Q14966,1,1,1,0
Q14974,1,1,1,0
Q14978,1,1,1,0
Q15020,1,1,1,1
Q15022,1,0,0,0
Q15029,1,1,1,0
Q15032,1,0,1,1
Q15046,1,1,1,0
Q15050,1,1,1,1
Q15056,1,1,1,1
Q15061,1,1,1,0
Q15149,1,1,1,0
Q15233,1,1,1,1
Q15269,1,1,1,1
Q15287,1,1,1,0
Q15365,1,1,1,1
Q15366,1,1,1,1
Q15393,1,1,1,0
Q15397,1,0,0,1
Q15424,1,1,1,0
Q15427,1,1,1,0
Q15434,1,1,1,0
Q15459,1,1,1,1
Q15477,1,0,1,0
Q15631,0,1,0,0
Q15633,1,0,0,0
Q15637,1,1,1,0
Q15654,1,1,1,0
Q15691,1,1,0,0
Q15717,1,1,1,1
Q15942,1,1,1,0
Q16513,1,0,1,0
Q16576,1,1,1,0
Q16629,1,1,1,1
Q16630,1,1,1,0
Q16637,1,1,1,0
Q16658,1,1,1,0
Q16666,0,1,0,0
Q16891,1,1,1,0
Q1ED39,1,0,0,0
Q1KMD3,1,1,1,1
Q2NL82,1,1,1,0
Q32MZ4,1,1,1,0
Q4G0J3,1,1,1,1
Q52LJ0,1,1,0,0
Q53EL6,1,1,0,0
Q53EP0,0,0,1,0
Q5BKZ1,1,1,1,1
Q5C9Z4,1,0,0,0
Q5JSZ5,1,1,1,0
Q5JTH9,1,1,1,1
Q5JTZ9,1,0,0,0
Q5QJE6,1,1,1,0
Q5SY16,1,1,1,0
Q5T200,1,1,0,0
Q5T3I0,1,1,1,0
Q5T653,1,0,0,1
Q5T6F2,1,1,1,1
Q5T8P6,1,1,1,0
Q5TAX3,1,0,0,0
Q5VTL8,1,1,0,0
Q5VTR2,1,0,0,0
Q66PJ3,1,1,0,0
Q69YN4,0,0,1,0
Q6AI08,0,0,1,0
Q6DKI1,1,0,1,1
Q6NYC1,1,1,0,0
Q6NZI2,0,1,0,0
Q6NZY4,1,1,1,0
Q6P158,1,0,1,0
Q6P2Q9,1,1,1,1
Q6P5R6,0,1,1,0
Q6P6C2,1,0,0,0
Q6PJT7,1,1,1,0
Q6PK04,1,1,1,0
Q6PKG0,1,1,1,1
Q6UN15,1,1,1,0
Q6Y7W6,1,1,1,0
Q71RC2,1,1,1,1
Q76FK4,1,0,1,0
Q7KZ85,1,1,1,0
Q7KZF4,1,1,1,1
Q7L014,1,1,1,1
Q7L0Y3,1,1,1,1
Q7L2E3,1,1,1,1
Q7L2J0,1,1,1,1
Q7L4I2,1,1,0,0
