"","deqms_results.sca.adj.pval","p.gene"
"439",0.0415997342823378,"Q9Y3B4"
"440",0.0415997342823378,"Q6YN16"
"441",0.0416792220461923,"Q14204"
"442",0.0417114095288052,"O75683"
"443",0.0417726004161426,"O00461"
"444",0.0426872540001659,"O75400"
"445",0.0430345810457453,"P00390"
"446",0.0430345810457453,"Q9BSH4"
"447",0.0430976560510298,"Q8IV08"
"448",0.0431677484590995,"Q8IZA0"
"449",0.0432571738309844,"Q9ULV4"
"450",0.0436321963617685,"P43897"
"451",0.0447882614199875,"Q9HD20"
"452",0.0448008792602223,"Q8N684"
"453",0.0448383541133595,"P20042"
"454",0.0448383541133595,"Q9NQZ7"
"455",0.0469108300463041,"P13473"
"456",0.0480344509090389,"O00468"
"457",0.0485559324688898,"O75616"
"458",0.0485559324688898,"Q9BXS4"
"459",0.0485559324688898,"P38435"
"460",0.0486924566239558,"Q92973"
"461",0.0489390237454999,"Q9NUM4"
"462",0.0492401009254703,"P23142"
"463",0.0492622591168344,"P06493"
"464",0.0494405334781598,"P80404"
