"","Gene","adjpval"
"533","O75390",0.0923574913010656
"534","P78504",0.0933455015047383
"535","P30038",0.0938009454240044
"536","P08865",0.0958249728360912
"537","Q9BU23",0.0961248261672012
"538","P54136",0.0972876338162958
"539","Q02252",0.0972876338162958
"540","P22570",0.0973075372050576
"541","Q5T4S7",0.0981543126819125
"542","Q99714",0.0984845871184227
"543","P34897",0.0984845871184227
"544","P62241",0.0986431501808745
"545","Q8N9Q2",0.0991774663813959
"546","Q14118",0.0991774663813959
"547","Q9P2E9",0.100692768119034
"548","P02749",0.102761484097672
"549","Q9BSJ8",0.102761484097672
"550","Q5BKY9",0.103261568205092
"551","Q9Y639",0.104469058487242
"552","O00541",0.104469058487242
"553","Q9H2H9",0.105143464145505
"554","P04843",0.10557633227221
"555","Q99442",0.10557633227221
"556","P09012",0.106574423015379
"557","P56199",0.107299931469308
"558","O43776",0.10769453441123
"559","Q9BXJ9",0.110529533208858
"560","Q08945",0.112100749749309
"561","Q9HCN3",0.112408250533301
"562","P62249",0.112408250533301
"563","Q68DH5",0.114423579703461
"564","Q9UBB4",0.114423579703461
"565","P19823",0.115614090567193
"566","P26640",0.115967538741962
"567","P50213",0.115967538741962
"568","P05787",0.117008915091223
"569","P35606",0.118601984683408
"570","Q9UQ53",0.120464239687825
"571","Q9UM00",0.120790201360191
"572","P00738",0.124776297974963
"573","Q68D85",0.125157566289043
"574","Q9C0J8",0.1273626734243
"575","P01019",0.127462536147577
"576","P20645",0.127462536147577
"577","P02652",0.128173434122824
"578","P60842",0.128173434122824
"579","Q9H1E3",0.128431936312381
"580","P21333",0.128815804005294
"581","P68363",0.128958725040497
"582","P08238",0.12939379951907
"583","Q9UKJ3",0.130693646584096
"584","Q9P035",0.133050260364815
"585","Q5VUB5",0.133704690659502
"586","Q86SQ4",0.134015173362604
"587","O14745",0.134015173362604
"588","P14314",0.134591666039047
"589","O60637",0.13529978972953
"590","Q8TB96",0.135784901007307
"591","Q99447",0.13582387643193
"592","O14817",0.136646608127282
"593","P05091",0.136734554499141
"594","P24752",0.137727541988472
"595","Q9P2R7",0.137856165063991
"596","P18827",0.138438341706633
"597","P35659",0.139462314898489
"598","Q9NXV6",0.139462314898489
"599","Q92575",0.141874891776032
"600","P51149",0.143234774235518
"601","Q92581",0.144126950741731
"602","P00387",0.144234324784679
"603","P20962",0.146043556905836
"604","P18085",0.14708359685438
"605","Q9BXP5",0.147685528395005
"606","P23458",0.149702867593735
"607","P51812",0.15188216584574
"608","Q9UIQ6",0.152272279661205
"609","Q96P11",0.15317254982566
"610","Q16698",0.153266532892487
"611","P06756",0.153266532892487
"612","Q2TB90",0.153391592131141
"613","P49753; Q86TX2",0.154540005189678
"614","P49748",0.155257661493787
"615","Q13123",0.156399476098318
"616","P35580",0.159467296315048
"617","P31689",0.160194710691441
"618","Q16762",0.160392149345938
"619","P62913",0.161070221857603
"620","Q96CM8",0.161732416496925
"621","Q6UW56",0.161732416496925
"622","P51148",0.161732416496925
"623","P35221",0.161732416496925
"624","Q8TC12",0.163331264638763
"625","Q15904",0.164369519992257
"626","Q9BW71",0.165566557689697
"627","Q4KMQ2",0.165998902376311
"628","P13688",0.166355151995922
"629","Q04828",0.166355151995922
"630","P61224",0.166662188736275
"631","P68104; Q5VTE0",0.166662188736275
"632","O60547",0.167016165584928
"633","Q13409",0.167016165584928
"634","Q9NYU2",0.167456859499133
"635","P78347",0.167745112156145
"636","P50552",0.167745112156145
"637","P09001",0.167745112156145
"638","P08240",0.168702910146484
"639","P78536",0.168702910146484
"640","Q9UDY2",0.168800929110323
"641","P02545",0.169245456078941
"642","Q16822",0.171374297391199
"643","Q15185",0.171620225218827
"644","P30048",0.171962245890289
"645","Q5VTL8",0.17483038168903
"646","P49790",0.17828227854361
"647","O00264",0.179338844409131
"648","Q8N7H5",0.179383153359195
"649","P35613",0.181625733418934
"650","Q14596",0.182655472407561
"651","Q9HCC0",0.182777711351987
"652","P53396",0.183461179952624
"653","P84085",0.183461179952624
"654","Q14008",0.186161624501125
"655","Q96A25",0.186519669205027
"656","P10909",0.188171956091276
"657","P51570",0.188171956091276
"658","O75509",0.191703088909365
"659","O15355",0.192145257320347
"660","Q00610",0.192557405657319
"661","P08185",0.195878652032364
"662","P55795",0.196000647184403
"663","Q9H583",0.196389075878474
"664","P41252",0.196389075878474
"665","Q13423",0.196389075878474
"666","Q66PJ3",0.196389075878474
"667","Q92552",0.196389075878474
"668","P53801",0.196389075878474
"669","P08727",0.197801792847003
"670","Q7Z6E9",0.198924123564642
"671","Q9Y678",0.200076836683648
"672","Q01844",0.200451387110156
"673","P62333",0.203209572226331
"674","Q9NP58",0.20403933404566
"675","Q3T906",0.204762997914126
"676","Q53GQ0",0.205499913759369
"677","P05026",0.205499913759369
"678","P38571",0.206159552163661
"679","Q14126",0.207513158235422
"680","P10809",0.207513158235422
"681","Q9Y3I0",0.207513158235422
"682","Q9Y399",0.208037690943004
"683","Q8WUA8",0.21299232384697
"684","Q9Y2I8",0.213960588740339
"685","P25116",0.213960588740339
"686","P51649",0.214050770370297
"687","P08579",0.219674385099113
"688","P11586",0.219674385099113
"689","Q9NRM0",0.219674385099113
"690","P28331",0.221186359696486
"691","P46100",0.223648981829696
"692","P02765",0.224169023384151
"693","P33908",0.225342898026714
"694","P00352",0.22600677072814
"695","O60884",0.227086637539532
"696","O00308",0.22887064639573
"697","Q99523",0.231149517709659
"698","P16671",0.231149517709659
"699","O95394",0.234298018435491
"700","P30825",0.234298018435491
"701","Q09328",0.234467109913233
"702","O15269",0.23451227349996
"703","Q15437",0.23451227349996
"704","Q5ZPR3",0.234973349610463
"705","Q15262",0.239501106518321
"706","O00151",0.240269435028995
"707","P80370",0.240269435028995
"708","P28838",0.242443209675206
"709","O15417",0.24362990010847
"710","P25440",0.24362990010847
"711","Q5JPH6",0.244145390610484
"712","Q9UBM7",0.244145390610484
"713","P30405",0.244525812022148
"714","O43719",0.244619115263732
"715","sp",0.245716490938346
"716","Q6NYC1",0.246819550394183
"717","P50454",0.249235819190665
"718","Q92673",0.249847305662526
"719","P36542",0.250138376556603
"720","P39687",0.250138376556603
"721","P27487",0.250138376556603
"722","P51795",0.250366676631612
"723","P07996",0.255066211180616
"724","Q8NE01",0.255066211180616
"725","P55157",0.257273436410236
"726","P15151",0.257273436410236
"727","Q99808",0.258116986459379
"728","P15907",0.258484759543555
"729","Q8IX12",0.263292606073889
"730","Q14534",0.265337044227932
"731","P19022",0.267561546350495
"732","P00558",0.270963318992221
"733","Q7Z4W1",0.271166921258754
"734","P35237",0.271166921258754
"735","O75131",0.272910992173978
"736","P08195",0.273228524650301
"737","P05141; P12236",0.273777232919571
"738","P27708",0.274585525834315
"739","Q16836",0.27478739290839
"740","Q9Y6E2",0.27478739290839
"741","O60701",0.275392418691542
"742","Q9NY35",0.275503017858395
"743","O76031",0.275503017858395
"744","P20674",0.275503017858395
"745","P29966",0.275503017858395
"746","Q9HD33",0.276954518555407
"747","Q8NC54",0.277554649613308
"748","P23284",0.278614957855109
"749","P09429",0.281009055040828
"750","P31431",0.281393093048493
"751","Q92541",0.282969449961253
"752","O95490",0.282969449961253
"753","Q16563",0.283684764741899
"754","Q14108",0.284233147857973
"755","Q8NI27",0.285092639749421
"756","P62277",0.285092639749421
"757","P50395",0.286356977016127
"758","P49327",0.28650912605496
"759","Q9NX58",0.286933841467542
"760","P48735",0.28827369156914
"761","Q15424",0.288505141345837
"762","P46778",0.289450802905129
"763","P78371",0.290152490894602
"764","Q9UIW2",0.293970112762191
"765","Q13724",0.295345068564114
"766","O15438",0.295348386001696
"767","P63218",0.295387306564574
"768","Q14847",0.296777956893186
"769","Q14978",0.296777956893186
"770","Q86YT5",0.296777956893186
"771","P0C0L4; P0C0L5",0.297210241131122
"772","Q7L576",0.298038308313425
"773","P11766",0.299815448979879
"774","Q8IWB7",0.299890580931417
"775","P48449",0.302252623554611
"776","Q03252",0.302804038493827
"777","Q06481",0.305773240497347
"778","Q13011",0.309403067491764
"779","Q10589",0.309791449975045
"780","P11172",0.313932002921047
"781","O75494",0.314269242916959
"782","P61204; P84077",0.314802253274626
"783","Q8WTV0",0.315155041927956
"784","P61956",0.316436755210776
"785","Q86WC4",0.316647248760253
"786","Q9NTK5",0.321413851608654
"787","Q12767",0.323264019498627
"788","P0DMN0",0.324341428338742
"789","Q08380",0.3250978491245
"790","O95716; P61224",0.325247514881881
"791","P05362",0.325763227845554
"792","P04899",0.326900163135742
"793","Q9Y5B9",0.32727791101604
